-BEGIN HEADER-,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual ,,,,,,,,,,,,,,
Dates (month/day/year): 01/01/1981 through 12/31/2022 ,,,,,,,,,,,,,,
Location: Latitude  26.2006   Longitude 92.9376 ,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 217.14 meters,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,
TS                  MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,,,,
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,,,,
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,15.13,17.18,21.87,24.76,27.91,28.56,27.9,28.06,26.83,24.26,20.55,16.23,23.3
TS,1982,16.15,17.51,22.64,25.85,28.26,27.86,27.9,27.82,27.17,24.09,20.1,15.9,23.47
TS,1983,14.45,17.04,22.66,26.08,27.77,30.14,29.79,28.45,26.87,24.82,20.31,15.45,23.69
TS,1984,13.83,17.04,24.79,28.79,28.52,29.19,27.69,28.3,25.98,25.08,19.63,15.8,23.73
TS,1985,15.66,17.75,24.86,27.51,29.32,30.14,27.55,29.09,27.1,24.76,19.55,16.48,24.18
TS,1986,15.62,18.75,24.28,27.76,29.45,31.67,28.91,29.35,26.76,22.89,19.38,16.45,24.3
TS,1987,15.74,18.9,22.93,27.31,29.12,30.78,28.03,27.6,26.33,23.31,20.26,17.32,23.99
TS,1988,15.76,18.74,22.2,27.36,28.58,28.69,28.3,27.61,26.79,24.09,20.16,16.91,23.77
TS,1989,13.4,16.49,22.01,27.4,29.9,29.59,28.56,28.1,27.33,24.44,18.87,14.86,23.44
TS,1990,16.18,18.08,21.98,25.58,28.22,28.44,28.01,28.26,26.9,23.32,20.39,15.97,23.47
TS,1991,14.45,18.69,24.76,28.12,30.57,29.17,29.23,28.16,26.44,23.77,18.02,14.55,23.85
TS,1992,13.82,15.49,22.51,27.74,28.18,29.7,27.87,28.35,27.94,24.4,20.61,15.14,23.49
TS,1993,14.12,18.48,21.26,26.44,27.87,27.94,28.49,27.57,26.44,24.02,19.92,16.54,23.27
TS,1994,15.69,16.73,23.33,26.61,29.17,29.09,29.39,28.7,27.83,23.61,20.69,15.74,23.92
TS,1995,14.65,18.05,24.17,28.98,30.31,29.3,27.84,27.92,26.29,24.38,20.26,15.82,24.02
TS,1996,14.72,18.35,24.37,27.87,28.96,29.98,28.47,28.08,27.3,24.63,20.36,16.26,24.12
TS,1997,14.52,16.5,24.02,25.83,28.74,28.49,28.15,28.01,26.13,22.99,20.51,15.58,23.33
TS,1998,13.79,18.07,21.3,26.69,29.87,29.04,27.98,27.87,27.48,25.3,20.61,15.9,23.68
TS,1999,14.64,19.88,23.66,30,28.94,30.19,28.55,27.93,27.02,24.37,19.19,15.94,24.2
TS,2000,14.78,15.96,22.34,27.3,28.4,28.48,28.51,28.01,26.58,24.58,19.23,14.78,23.26
TS,2001,13.62,17.79,22.52,27.48,28.51,28.3,29.5,29.58,27.33,25.03,21.3,15.73,23.91
TS,2002,16.26,19.17,24.36,26.76,28.07,29.48,28.55,27.74,27.01,23.99,20.27,16.34,24.02
TS,2003,14.17,18.62,22.37,27.51,28.92,28.79,28.52,29.15,27.7,24.02,18.9,15.79,23.73
TS,2004,14.84,17.74,24.09,25.53,27.51,28.21,27.47,28.53,26.48,22.83,18.48,15.71,23.13
TS,2005,14.36,19.26,23.98,26.02,26.94,29.5,29.24,28.62,27.6,24.08,18.77,16.12,23.73
TS,2006,14.75,20.49,23.52,26.71,28.75,28.57,29.46,30.18,28.19,25.42,20.64,16.86,24.48
TS,2007,14.96,17.6,21.9,26.44,28.3,28.05,28.15,28.5,26.31,23.94,19.9,14.72,23.26
TS,2008,14.5,15.97,23.14,26.65,28.22,28.19,28.03,27.34,26.91,23.9,19.41,17.81,23.36
TS,2009,16.47,19.17,23.44,27.54,28.6,29.15,29.08,27.9,27.24,23.74,20.19,16.01,24.06
TS,2010,15.26,18.3,24.86,26.85,27.24,27.59,27.98,27.76,26.69,24.11,20.48,15.32,23.56
TS,2011,13.52,17.74,22.48,25.87,27.75,28.27,27.65,27.4,27.15,24.33,19.2,16.31,23.16
